Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,LOI,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,NaOH specific gravity,Na2SiO3 specific gravity,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),7-d Cubic compressive strength (MPa)
984,40.58,15.835,3.73,31.275,1.69,0.185,0.745,1.505,0.92,0.27,0,150,150,0,0,1172.64,781.76,48.21,19.29,0,0,0.1627,0.3464,0.49,7.84,16.7,23.666289,10,11.574,7.716,109.4,0,144.640289,1,100,40,216.23786,26.085689
985,51.215,21.5975,4.455,16.3725,1.345,0.1325,0.6875,0.7775,1.38,0.405,0,75,225,0,0,1151.7,767.79,72.32,28.93,0,0,0.1627,0.3464,0.49,11.77,25.05,35.501888,10,17.358,11.572,89.11,0,141.969888,1,100,40,169.434132,25.3992235
986,57.9,31.11,5.07,1.29,0.97,0.09,1,0.05,0,0,0,0,300,0,0,1130.74,753.83,96.43,38.57,0,0,0.1627,0.3464,0.49,15.69,33.4,47.337487,10,23.142,15.428,68.81,0,139.289487,1,100,40,122.630356,23.928226
987,29.945,10.0725,3.005,46.1775,2.035,0.2375,0.8025,2.2325,0.46,0.135,0,262.5,87.5,0,0,1123.66,749.11,34.38,13.75,0,0,0.1627,0.3464,0.49,5.59,11.91,16.877142,10,8.25,5.5,146.06,0,171.187142,1,100,40,300.873596,30.400615
988,40.58,15.835,3.73,31.275,1.69,0.185,0.745,1.505,0.92,0.27,0,175,175,0,0,1098.54,732.36,68.75,27.5,0,0,0.1627,0.3464,0.49,11.19,23.82,33.749375,10,16.5,11,117.11,0,167.359375,1,100,40,250.42832,32.8522775
989,51.215,21.5975,4.455,16.3725,1.345,0.1325,0.6875,0.7775,1.38,0.405,0,87.5,262.5,0,0,1073.42,715.62,103.13,41.25,0,0,0.1627,0.3464,0.49,16.78,35.72,50.626517,10,24.75,16.5,88.17,0,163.546517,1,100,40,199.986692,32.8522775
990,57.9,31.11,5.07,1.29,0.97,0.09,1,0.05,0,0,0,0,350,0,0,1048.3,698.87,137.5,55,0,0,0.1627,0.3464,0.49,22.37,47.63,67.49875,10,33,22,59.23,0,159.72875,1,100,40,149.541416,32.361945
991,29.945,10.0725,3.005,46.1775,2.035,0.2375,0.8025,2.2325,0.46,0.135,0,262.5,87.5,0,0,1124.337,749.56,28.13,11.25,0,0,0.1627,0.3464,0.49,4.58,9.74,13.809017,10,6.75,4.5,151.32,0,171.879017,1,100,40,296.7140056,25.693423
992,40.58,15.835,3.73,31.275,1.69,0.185,0.745,1.505,0.92,0.27,0,175,175,0,0,1099.9,733.26,56.25,22.5,0,0,0.1627,0.3464,0.49,9.15,19.49,27.613125,10,13.5,9,127.64,0,168.753125,1,100,40,242.109168,28.5373515
993,51.215,21.5975,4.455,16.3725,1.345,0.1325,0.6875,0.7775,1.38,0.405,0,87.5,262.5,0,0,1075.44,716.97,84.38,33.75,0,0,0.1627,0.3464,0.49,13.73,29.23,41.422142,10,20.25,13.5,103.96,0,165.632142,1,100,40,187.507868,27.5566865
994,57.9,31.11,5.07,1.29,0.97,0.09,1,0.05,0,0,0,0,350,0,0,1051,700.67,112.5,45,0,0,0.1627,0.3464,0.49,18.3,38.97,55.22625,10,27,18,80.28,0,162.50625,1,100,40,132.903016,27.1644205
1337,65.6,26.53,5.49,0.31,0.76,0.36,0.23,0.31,0,0,0.41,0,430,0,0,1243,533,138,56,0,0,0.1695,0.3506,0.4799,23.39,48.38,66.2262,8,38.08,17.92,0,8.6,109.4662,1,60,27,132.867933333333,27.1075
1338,65.6,26.53,5.49,0.31,0.76,0.36,0.23,0.31,0,0,0.41,0,397,0,0,1277,547,128,51,0,0,0.1695,0.3506,0.4799,21.7,44.88,61.4272,8,34.68,16.32,0,7.94,100.8712,1,60,27,125.061533333333,28.529
1339,65.6,26.53,5.49,0.31,0.76,0.36,0.23,0.31,0,0,0.41,0,364,0,0,1311,562,117,46,0,0,0.1695,0.3506,0.4799,19.83,41.02,56.1483,8,31.28,14.72,0,7.28,91.7963,1,60,27,116.899933333333,29.5457
1340,65.6,26.53,5.49,0.31,0.76,0.36,0.23,0.31,0,0,0.41,0,331,0,0,1344,576,106,42,0,0,0.1695,0.3506,0.4799,17.97,37.16,50.8694,8,28.56,13.44,0,6.62,83.4014,1,60,27,109.341533333333,26.5138
1341,65.6,26.53,5.49,0.31,0.76,0.36,0.23,0.31,0,0,0.41,0,298,0,0,1377,590,96,38,0,0,0.1695,0.3506,0.4799,16.27,33.66,46.0704,8,25.84,12.16,0,5.96,75.4864,1,60,27,102.143133333333,24.4939
