Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),1-d Cubic compressive strength (MPa)
1233,46.78,22.52,9.15,2.24,1.33,0.89,4.09,0.9,1.05,0.17,0,0,0.05,3.57,371,0,0,1111,721,87,72,0,87,0.128,0.255,0.62,11.14,22.19,53.679,72,7.5,50.4,21.6,0,0,104.079,28,70,65,891.4616,8.40817
1234,46.78,22.52,9.15,2.24,1.33,0.89,4.09,0.9,1.05,0.17,0,0,0.05,3.57,367,0,0,1145,742,86,71,0,86,0.128,0.255,0.62,11.01,21.93,53.062,71,7.5,49.7,21.3,0,0,102.762,28,70,65,890.7751,13.308
1235,46.78,22.52,9.15,2.24,1.33,0.89,4.09,0.9,1.05,0.17,0,0,0.05,3.57,357,0,0,1145,742,84,69,0,84,0.128,0.255,0.62,10.75,21.42,51.828,69,7.5,48.3,20.7,0,0,100.128,28,70,65,888.8661,10.6697
1236,46.78,22.52,9.15,2.24,1.33,0.89,4.09,0.9,1.05,0.17,0,0,0.05,3.57,348,0,0,1145,742,82,67,0,82,0.128,0.255,0.62,10.5,20.91,50.594,67,7.5,46.9,20.1,0,0,97.494,28,70,65,886.9611,7.65918
1237,46.78,22.52,9.15,2.24,1.33,0.89,4.09,0.9,1.05,0.17,0,0,0.05,3.57,355,0,0,1160,753,84,69,0,84,0.128,0.255,0.62,10.75,21.42,51.828,69,7.5,48.3,20.7,0,0,100.128,28,70,65,888.9829,12.9217
1238,46.78,22.52,9.15,2.24,1.33,0.89,4.09,0.9,1.05,0.17,0,0,0.05,3.57,346,0,0,1160,753,81,67,0,81,0.128,0.255,0.62,10.37,20.66,49.977,67,7.5,46.9,20.1,0,0,96.877,28,70,65,886.7179,9.54465
1239,46.78,22.52,9.15,2.24,1.33,0.89,4.09,0.9,1.05,0.17,0,0,0.05,3.57,337,0,0,1160,753,79,65,0,79,0.128,0.255,0.62,10.11,20.15,48.743,65,7.5,45.5,19.5,0,0,94.243,28,70,65,884.8129,8.01941
1240,43.3175314861461,20.2733753148615,7.4008564231738,10.4942065491184,2.4463476070529,0.92183879093199,3.4611838790932,1.07113350125945,0.974382871536524,0.136171284634761,0,0,0.141536523929471,3.33717884130982,318,79,0,1111,721,93,77,0,93,0.128,0.255,0.62,11.9,23.72,57.381,77,7.5,53.9,23.1,0,0,111.281,0,20,24,91.8901,8.11786
1241,43.3090155440415,20.2678497409326,7.39655440414508,10.5145077720207,2.4490932642487,0.921917098445596,3.45963730569948,1.07155440414508,0.97419689119171,0.136088082901554,0,0,0.141761658031088,3.33660621761658,309,77,0,1111,721,91,75,0,91,0.128,0.255,0.62,11.65,23.21,56.147,75,7.5,52.5,22.5,0,0,108.647,0,20,24,89.8811,6.57833
1242,43.3092553191489,20.2680053191489,7.39667553191489,10.5139361702128,2.44901595744681,0.921914893617021,3.45968085106383,1.07154255319149,0.974202127659574,0.136090425531915,0,0,0.141755319148936,3.33662234042553,301,75,0,1111,721,89,73,0,89,0.128,0.255,0.62,11.39,22.7,54.913,73,7.5,51.1,21.9,0,0,106.013,0,20,24,87.8761,6.14739
1243,43.3189645776567,20.2743051771117,7.40158038147139,10.4907901907357,2.44588555858311,0.921825613079019,3.46144414168937,1.07106267029973,0.97441416893733,0.136185286103542,0,0,0.14149863760218,3.33727520435967,294,73,0,1111,721,86,71,0,86,0.128,0.255,0.62,11.01,21.93,53.062,71,7.5,49.7,21.3,0,0,102.762,0,20,24,85.5151,4.60786
1244,43.2904395604396,20.2557967032967,7.38717032967033,10.5587912087912,2.45508241758242,0.922087912087912,3.45626373626374,1.07247252747253,0.973791208791209,0.135906593406593,0,0,0.142252747252747,3.33535714285714,291,73,0,1145,742,85,70,0,85,0.128,0.255,0.62,10.88,21.68,52.445,70,7.5,49,21,0,0,101.445,0,20,24,84.8326,6.44899
1245,43.2901694915254,20.2556214689266,7.38703389830509,10.5594350282486,2.45516949152542,0.922090395480226,3.45621468926554,1.07248587570621,0.973785310734463,0.13590395480226,0,0,0.14225988700565,3.33533898305085,283,71,0,1145,742,83,68,0,83,0.128,0.255,0.62,10.62,21.17,51.211,68,7.5,47.6,20.4,0,0,98.811,0,20,24,82.8276,4.53656
1246,43.3,20.262,7.392,10.536,2.452,0.922,3.458,1.072,0.974,0.136,0,0,0.142,3.336,276,69,0,1145,742,81,67,0,81,0.128,0.255,0.62,10.37,20.66,49.977,67,7.5,46.9,20.1,0,0,96.877,0,20,24,81.4011,4.1031
1247,43.3096398891967,20.2682548476454,7.39686980609418,10.5130193905817,2.448891966759,0.92191135734072,3.45975069252078,1.07152354570637,0.974210526315789,0.136094182825485,0,0,0.141745152354571,3.33664819944598,289,72,0,1160,753,85,70,0,85,0.128,0.255,0.62,10.88,21.68,52.445,70,7.5,49,21,0,0,101.445,0,20,24,84.8974,6.36507
