Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,NaOH specific gravity,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),28-d Cubic compressive strength (MPa)
518,49.636,28.364,2.826,11.188,3.33,0.212,0.744,0,1.43,0.3284,0,0,0,0.736,0,504,126,0,0,0,858,520,98,82,1.17,1.54,98,0.1492,0.298,0.55,14.62,29.2,54.1744,82,8,55.76,26.24,104,0,213.9344,0,25,24,100.712,38.3213
519,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,858,520,81,69,1.17,1.54,81,0.1492,0.298,0.55,12.09,24.14,44.7768,69,8,46.92,22.08,125,0,216.6968,0,25,24,93.1016,6.0551
520,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,941,442,108,92,1.17,1.54,108,0.1492,0.298,0.55,16.11,32.18,59.7024,92,8,62.56,29.44,90,0,212.2624,0,25,24,116.94,57.2846
521,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,776,597,108,92,1.17,1.54,108,0.1492,0.298,0.55,16.11,32.18,59.7024,92,8,62.56,29.44,90,0,212.2624,0,25,24,116.892,66.9997
522,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,609,754,108,92,1.17,1.54,108,0.1492,0.298,0.55,16.11,32.18,59.7024,92,8,62.56,29.44,90,0,212.2624,0,25,24,116.844,52.1414
523,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,941,442,98,82,1.17,1.54,98,0.1492,0.298,0.55,14.62,29.2,54.1744,82,8,55.76,26.24,104,0,213.9344,0,25,24,107.212,52.6417
524,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,776,597,98,82,1.17,1.54,98,0.1492,0.298,0.55,14.62,29.2,54.1744,82,8,55.76,26.24,104,0,213.9344,0,25,24,107.164,68.4283
525,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,609,754,98,82,1.17,1.54,98,0.1492,0.298,0.55,14.62,29.2,54.1744,82,8,55.76,26.24,104,0,213.9344,0,25,24,107.116,52.8557
526,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,941,442,81,69,1.17,1.54,81,0.1492,0.298,0.55,12.09,24.14,44.7768,69,8,46.92,22.08,125,0,216.6968,0,25,24,93.1256,44.4303
527,45.2471975497703,24.9563859111792,2.43863705972435,17.4094027565084,5.3946248085758,0.184471669218989,0.71843797856049,0,1.20387442572741,0.248174578866769,0,0,0,0.820551301684533,0,394,259,0,0,0,776,597,81,69,1.17,1.54,81,0.1492,0.298,0.55,12.09,24.14,44.7768,69,8,46.92,22.08,125,0,216.6968,0,25,24,93.0776,53.7883
