Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,LOI,FA (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Total solution,Na2O (Dry),Sio2 (Dry),Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Mixture CO2 (Na2SiO3 as solution),7-d Cylindrical compressive strength (MPa)
115,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,10.2,105.84,1,60,0.041666667,125.023133333333,50
116,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,12.2,107.04,1,60,0.041666667,128.783133333333,50
117,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,14.3,108.3,1,60,0.041666667,132.731133333333,46
118,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,6.1,103.38,1,30,0,98.0651333333333,35
119,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,6.1,103.38,1,45,0,107.690133333333,41
120,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,6.1,103.38,1,60,0,117.315133333333,63
121,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,6.1,103.38,1,75,0,126.940133333333,64
122,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,6.1,103.38,1,90,0,136.565133333333,63
123,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,6.1,103.38,0.25,45,0,98.0651333333333,33
124,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,6.1,103.38,0.25,60,0,100.471383333333,42
125,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,6.1,103.38,0.25,75,0,102.877633333333,48
126,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,6.1,103.38,0.25,90,0,105.283883333333,51
127,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,6.1,103.38,1,90,0.04,136.565133333333,61
128,47.8,24.4,17.4,2.42,1.99,0.31,0.55,0.29,1.328,2,1.1,476,1294,554,120,48,120,17.64,35.28,8,32.64,15.36,0,6.1,103.38,1,90,0.04,136.565133333333,61
