Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,LOI,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Mixture CO2 (Na2SiO3 as solution),7-d Cylindrical compressive strength (MPa)
1052,32.4,14.96,0.83,40.7,5.99,0.42,0.29,2.74,0.84,0.38,0,0.4,0,0,0,450,0,0,1161,625,133,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,178.99,60.38
1053,35.38,16.214,1.139,36.857,5.496,0.43,0.385,2.466,0.772,0.372,0,0.369,0,0,45,405,0,0,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,166.75,58.55
1054,38.36,17.468,1.448,33.014,5.002,0.44,0.48,2.192,0.704,0.364,0,0.338,0,0,90,360,0,0,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,164.59,56.34
1055,41.34,18.722,1.757,29.171,4.508,0.45,0.575,1.918,0.636,0.356,0,0.307,0,0,135,315,0,0,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,162.43,49.2
1056,44.32,19.976,2.066,25.328,4.014,0.46,0.67,1.644,0.568,0.348,0,0.276,0,0,180,270,0,0,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,160.27,42.68
1057,47.3,21.23,2.375,21.485,3.52,0.47,0.765,1.37,0.5,0.34,0,0.245,0,0,225,225,0,0,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,158.11,40.82
1058,50.28,22.484,2.684,17.642,3.026,0.48,0.86,1.096,0.432,0.332,0,0.214,0,0,270,180,0,0,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,155.95,35.41
1059,34.381,17.872,0.747,36.799,5.391,0.378,0.261,2.466,0.774,0.342,0,0.36,0,0,0,405,0,45,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,181.42,40.03
1060,36.362,20.784,0.664,32.898,4.792,0.336,0.232,2.192,0.708,0.304,0,0.32,0,0,0,360,0,90,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,193.93,34.21
1061,38.343,23.696,0.581,28.997,4.193,0.294,0.203,1.918,0.642,0.266,0,0.28,0,0,0,315,0,135,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,206.44,28.14
1062,40.324,26.608,0.498,25.096,3.594,0.252,0.174,1.644,0.576,0.228,0,0.24,0,0,0,270,0,180,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,218.95,26.75
1063,42.305,29.52,0.415,21.195,2.995,0.21,0.145,1.37,0.51,0.19,0,0.2,0,0,0,225,0,225,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,231.46,25.78
1064,44.286,32.432,0.332,17.294,2.396,0.168,0.116,1.096,0.444,0.152,0,0.16,0,0,0,180,0,270,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,243.97,25.36
1065,37.736,13.653,0.803,36.722,5.472,0.452,0.347,2.496,0.756,0.342,0,0.36,0.4,0,0,405,45,0,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,167.2,42.16
1066,43.072,12.346,0.776,32.744,4.954,0.484,0.404,2.252,0.672,0.304,0,0.32,0.8,0,0,360,90,0,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,165.49,36.1
1067,48.408,11.039,0.749,28.766,4.436,0.516,0.461,2.008,0.588,0.266,0,0.28,1.2,0,0,315,135,0,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,163.78,32.12
1068,53.744,9.732,0.722,24.788,3.918,0.548,0.518,1.764,0.504,0.228,0,0.24,1.6,0,0,270,180,0,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,162.07,30.41
1069,59.08,8.425,0.695,20.81,3.4,0.58,0.575,1.52,0.42,0.19,0,0.2,2,0,0,225,225,0,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,160.36,29.55
1070,64.416,7.118,0.668,16.832,2.882,0.612,0.632,1.276,0.336,0.152,0,0.16,2.4,0,0,180,270,0,1161,625,105,53,1.53,105,0.147,0.294,0.56,15.44,30.87,58.695,53,14,23.32,29.68,54,22.5,149.515,0,25,158.65,28.98
1309,74.18,9.44,4.22,5.53,2.48,0.32,1.46,0,0.96,0,0,0,0.82,0,459,0,0,0,1172,539,142.8571429,57.14285714,1.53,142.8571429,0.154,0.385,0.46,22,55,65.85714286,57.14285714,10,34.28571429,22.85714286,0,0,100.1428571,0,20,105.2488000209,9.32203
1310,74.18,9.44,4.22,5.53,2.48,0.32,1.46,0,0.96,0,0,0,0.82,0,459,0,0,0,1172,539,142.8571429,57.14285714,1.53,142.8571429,0.154,0.385,0.46,22,55,65.85714286,57.14285714,10,34.28571429,22.85714286,0,0,100.1428571,1,80,140.540466687567,22.7119
1311,71.3197471526196,9.08143963553531,4.12836218678815,8.52001480637813,2.50360820045558,0.304,1.40886788154898,0.227790432801822,0.950268792710706,0,0,0,0.995400911161731,22.95,436.05,0,0,0,1172,539,142.8571429,57.14285714,1.53,142.8571429,0.154,0.385,0.46,22,55,65.85714286,57.14285714,10,34.28571429,22.85714286,0,0,100.1428571,0,20,124.4350000209,17.1186
1312,71.3197471526196,9.08143963553531,4.12836218678815,8.52001480637813,2.50360820045558,0.304,1.40886788154898,0.227790432801822,0.950268792710706,0,0,0,0.995400911161731,22.95,436.05,0,0,0,1172,539,142.8571429,57.14285714,1.53,142.8571429,0.154,0.385,0.46,22,55,65.85714286,57.14285714,10,34.28571429,22.85714286,0,0,100.1428571,1,80,159.726666687567,44.5763
1313,68.4594943052392,8.72287927107062,4.03672437357631,11.5100296127563,2.52721640091116,0.288,1.35773576309795,0.455580865603645,0.940537585421412,0,0,0,1.17080182232346,45.9,413.1,0,0,0,1172,539,142.8571429,57.14285714,1.53,142.8571429,0.154,0.385,0.46,22,55,65.85714286,57.14285714,10,34.28571429,22.85714286,0,0,100.1428571,0,20,143.6212000209,16.7797
1314,68.4594943052392,8.72287927107062,4.03672437357631,11.5100296127563,2.52721640091116,0.288,1.35773576309795,0.455580865603645,0.940537585421412,0,0,0,1.17080182232346,45.9,413.1,0,0,0,1172,539,142.8571429,57.14285714,1.53,142.8571429,0.154,0.385,0.46,22,55,65.85714286,57.14285714,10,34.28571429,22.85714286,0,0,100.1428571,1,80,178.912866687567,47.4576
